nohup: ignoring input
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
开始训练第 1 折
start base model training
Epoch 1/350, Training Loss: 0.7169519658126529, Training Acc: 0.49850299401197606, Validation Loss: 1.9414114931534077, Validation Acc: 0.5007225433526011
Epoch 21/350, Training Loss: 0.6889529493119981, Training Acc: 0.5034930139720559, Validation Loss: 2.1239457493540885, Validation Acc: 0.5007225433526011
Epoch 41/350, Training Loss: 0.6832643179666429, Training Acc: 0.5289421157684631, Validation Loss: 3.9562223389230926, Validation Acc: 0.5234826589595376
Epoch 61/350, Training Loss: 0.6813115013970269, Training Acc: 0.5112275449101796, Validation Loss: 1.1726494424644558, Validation Acc: 0.5083092485549133
Epoch 81/350, Training Loss: 0.6811106044148642, Training Acc: 0.5132235528942116, Validation Loss: 1.4513372381528218, Validation Acc: 0.5079479768786127
Epoch 101/350, Training Loss: 0.6755875675451188, Training Acc: 0.5044910179640718, Validation Loss: 1.6749157761705333, Validation Acc: 0.5065028901734104
Epoch 121/350, Training Loss: 0.6737883582947746, Training Acc: 0.5154690618762475, Validation Loss: 1.1861322515312283, Validation Acc: 0.5119219653179191
Epoch 141/350, Training Loss: 0.6731412278281318, Training Acc: 0.5202095808383234, Validation Loss: 2.813879457698471, Validation Acc: 0.5126445086705202
Epoch 161/350, Training Loss: 0.6710897598947797, Training Acc: 0.528692614770459, Validation Loss: 1.433614584221237, Validation Acc: 0.5140895953757225
Epoch 181/350, Training Loss: 0.6737210670160869, Training Acc: 0.5167165668662674, Validation Loss: 3.9555629567168227, Validation Acc: 0.5151734104046243
Epoch 201/350, Training Loss: 0.6721023377918062, Training Acc: 0.5192115768463074, Validation Loss: 1.9220286683104504, Validation Acc: 0.5169797687861272
Epoch 221/350, Training Loss: 0.668656944755524, Training Acc: 0.5369261477045908, Validation Loss: 8.23729238838985, Validation Acc: 0.5310693641618497
Epoch 241/350, Training Loss: 0.6669454427938613, Training Acc: 0.5396706586826348, Validation Loss: 4.182226703769859, Validation Acc: 0.5274566473988439
Epoch 261/350, Training Loss: 0.6645479926041195, Training Acc: 0.5284431137724551, Validation Loss: 3.0934024412056496, Validation Acc: 0.5104768786127167
Epoch 281/350, Training Loss: 0.6658066407082572, Training Acc: 0.5234530938123753, Validation Loss: 2.401333281363564, Validation Acc: 0.513728323699422
Epoch 301/350, Training Loss: 0.6650725432804653, Training Acc: 0.534181636726547, Validation Loss: 7.474783725437077, Validation Acc: 0.5245664739884393
Epoch 321/350, Training Loss: 0.664451254265649, Training Acc: 0.5351796407185628, Validation Loss: 8.66715699845347, Validation Acc: 0.534320809248555
Epoch 341/350, Training Loss: 0.6667332989828927, Training Acc: 0.5182135728542914, Validation Loss: 1.3423113816085903, Validation Acc: 0.5148121387283237
Epoch 1/350, Training Loss: 0.7103801350893937, Training Acc: 0.4992588932806324, Validation Loss: 0.7899715422197829, Validation Acc: 0.4974340175953079
Epoch 21/350, Training Loss: 0.6884665564289243, Training Acc: 0.5121047430830039, Validation Loss: 1.4412470390630323, Validation Acc: 0.5062316715542522
Epoch 41/350, Training Loss: 0.68482595494413, Training Acc: 0.5170454545454546, Validation Loss: 1.4127712769563807, Validation Acc: 0.5168621700879765
Epoch 61/350, Training Loss: 0.6820470146306856, Training Acc: 0.5363142292490118, Validation Loss: 4.447871775128121, Validation Acc: 0.5230938416422287
Epoch 81/350, Training Loss: 0.6798837048800912, Training Acc: 0.5096343873517787, Validation Loss: 1.997801632382149, Validation Acc: 0.5109970674486803
Epoch 101/350, Training Loss: 0.677527511683036, Training Acc: 0.5165513833992095, Validation Loss: 0.9119513339774553, Validation Acc: 0.5120967741935484
Epoch 121/350, Training Loss: 0.6729591840834129, Training Acc: 0.5419960474308301, Validation Loss: 2.709904442692912, Validation Acc: 0.5362903225806451
Epoch 141/350, Training Loss: 0.6747770661444176, Training Acc: 0.5155632411067194, Validation Loss: 0.7720376454120459, Validation Acc: 0.5183284457478006
